fuli,gaikuang,gsname,hangye,jinyan,job_name,renshu,xingzhi,xinxi,xinzi,xueli
"五险一金,员工旅游,专业培训,出国机会,年终奖金,股票期权,弹性工作,定期体检","魔视智能/MOTOVIS专注于自动驾驶和高级辅助驾驶，是一家具有深厚积累的在汽车自动驾驶系统领域实现嵌入式产品化的自动驾驶公司。,拥有荣获国际大奖的视觉感知和定位算法及嵌入式芯片平台团队，魔视智能依照汽车工程标准，将优化的人工智能计算引擎高效运行在低功耗的嵌入式处理器上。通过使用单目或者多目摄像头，结合多传感器融合，实现准确实时的环境感知和车体定位系统。在不同的场景条件下，完成多角度多目标的识别和避障任务，实现不同等级的自动驾驶功能。在精确的环境感知和车辆定位基础上，整合路径规划和整车控制技术，魔视智能可以提供包括自动泊车、代客泊车、AEB和TJP在内的多种自动驾驶系统。,魔视智能的最新研发产品融合了获得国际大奖的先进算法，已在包括乘用车和商用车在内的多个汽车项目上前装量产应用。系统的实时性、准确性、鲁棒性、普适性都获得了广泛的认可和好评。我们将持续致力于整合先进的人工智能技术和汽车电子系统成功经验，打通传统汽车智能化的技术鸿沟，开启汽车的人工智能大脑，实现更安全更自由的自动驾驶。,公司总部位于上海张江，在澳大利亚设有人工智能算法研究院，在深圳设有业务和客户支持中心。,上海市科学技术委员会批准的高新技术企业，具有人才引进资格，可以为优秀人才办理上海市户籍。",魔视智能科技（上海）有限公司,"汽车,计算机软件",硕士,深度学习算法工程师,50-150人,外资（非欧美）,"岗位职责：,1,基于深度学习的目标检测、识别、场景理解、视频分析相关算法的研究、实现和完善。,2,业内和学术界先进技术的跟踪和原型化。,岗位要求：,1,掌握机器学习,深度学习等相关知识，有该领域算法的研究或开发经验；,2,具有较强的编程能力，熟悉,等开发工具；,3,熟悉神经网络的各种模型，如：卷积神经网络，递归神经网络等；,4,熟悉深度学习的开源框架，如,、,等；,5,具有数学、计算机、电子、自控、通信等相关专业的硕士或博士学历及以上,6,在公开测试集取得优异效果、或在,等,会议发表论文、或有深度学习的产品研究经验者优先；,职能类别：,关键字：",2.5-5万/月,招若干人
"五险一金,员工旅游,专业培训","深圳市深视创新科技有限公司（DeepVision）成立于2016年8月，位于深圳市南山科技园，是***与深圳市双高技术企业,由海归IEEE院士、密苏里大学终身正教授、博士生导师何志海先生联合资深互联网人许琦先生共同创办。,公司主要从事深度机器视觉在工业外观检测，智能制造等领域的理论和应用研究，并提供其标准AI产品与技术解决方案。自成立来已为国内外众多行业与龙头企业解决了核心难题，并为其提供大量基于深度学习的标准软、硬件与定制化AI算法。,深视创新拥有国际领先的图像智能分析、机器视觉、深度网络优化、加速和跨平台移植等核心技术，并拥有一支思维领先的海外、海归深度学习科研团队与国内资深的互联网基因产品团队。我们相信依托自身技术实力与互联网思维，能够快速成长成为国内有一定知名度的人工智能应用企业。",深圳市深视创新科技有限公司,计算机软件,3-4年经验,深度学习算法工程师,少于50人,创业公司,"工作职责,负责产品的图像算法开发，包括图像分析、机器视觉、模式识别、机器学习等。,岗位要求：,1、图像处理、机器视觉、机器学习、模式识别等相关专业研究生以上学历，有深度学习相关项目经验者优先（特别优秀可放宽条件）。,2、有3年以上相关领域项目和产品开发经验（特别优秀可放宽条件）。,3、熟悉,编程语言，能熟练使用,进行算法开发。,4、,熟悉,、,等主流深度学习算法，能熟练使用,、,、,、,等开源软件中的一种。,5、具有良好的数学素养，优秀的逻辑和抽象思维。,6、善于沟通，有较强的团队协作精神和创业激情。,职能类别：",1.5-3万/月,硕士
"做五休二,弹性工作,带薪年假,五险一金,节日福利,通讯补贴,餐饮补贴,绩效奖金,员工旅游,年终奖金","丽台（上海）信息科技有限公司于2002年在上海成立，是丽台科技的全资子公司。秉持诚信笃实的精神，坚持以“研究创新、品质至上”的信念，为消费者提供完善的产品和服务。丽台科技多年深耕图形图像领域，致力于提供整体的视觉计算专业解决方案，包括远程图形工作站、GPU虚拟化及面向专业设计的VDI桌面，GPU/CUDA高性能计算、深度学习及人工智能、大数据分析等。,丽台科技长期秉持诚信笃实的精神，坚持以“研究创新、品质至上”的信念，为消费者提供完善的产品和服务。丽台多年深耕图形图像领域三十年，致力于提供整体的视觉计算专业解决方案，包括专业显卡、远程图形工作站、GPU虚拟化及面向专业设计的VDI桌面，GPU/CUDA高性能计算、深度学习及人工智能、大数据分析等。",丽台（上海）信息科技有限公司,计算机硬件,1年经验,深度学习工程师,50-150人,外资（非欧美）,"1,利用深度学习的技术进行前沿人工智能技术研发；,2,负责深度学习平台和框架的搭建工作，包括算法实现及系统研发；,3,支持公司相关产品在深度学习领域的研究。,任职要求：,1,硕士以上学历，计算机相关专业，1年以上相关专业工作经验，亦欢迎优秀的应届毕业生；,2,有良好的数学基础和编程能力，熟悉,、,、,等编程语言；,3,了解,0,0,0开发框架如,0,0等优先,4,熟悉机器学习、深度学习等领域的相关算法,如逻辑回归、,、神经网络、,0决策树、贝叶斯等,；,5,熟悉基于,、,的容器云,态体系,0；,6,熟悉主流深度学习框架（,等）；,7,善于解决和分析问题，富有想象力和学习能力，良好的团队合作精神；,8,编码和团队协作能力强，能够独立支撑一个研究方向，勇于挑战和创新，工作主动性强。,工作时间：做五休二,早8,30,晚5,30（考虑到上海交通压力较大，每天有1小时弹性工作时间）,工作地点：上海市闵行区莲花路1978号,栋（9号线漕河泾开发区站）,老板爱惜人才，公司氛围佳，福利好，人性化管理，速投简历吧,职能类别：,关键字：",1-2万/月,硕士
"五险一金,交通补贴,周末双休,带薪年假,包吃,包住宿,节日福利","苏州极目机器人科技有限公司（以下简称“公司”或“苏州极目”）总部位于苏州工业园区, 主要从事机器视觉技术的研发与应用。公司的技术、产品及服务主要应用于农业、电力、轨道交通等众多关系到国计民生的重要行业，并在广州、苏州、河南、武汉设立分支机构用以实现相关行业的战略布局。,公司在美国硅谷、中国苏州均设有技术研发基地，公司拥有一支集智能感知和自主控制、图像识别及人工智能等领域的顶尖级专家在内的科研团队，致力于智能设备的研发。团队成员来自于Telsa（ADAS系统），UC伯克利，Intuitive Surgical，英特尔，JDSU等国际***公司，具有丰富的行业及工业经验。截至目前，公司在无人机自主随地飞行、智能避障等技术方面已占据全球领先地位。,苏州极目机器人科技有限公司作为一家全新的公司,为员工提供了良好的工作环境和职业发展前景，并提供有竞争力的福利待遇和国内、国外培训、学习机会，苏州极目欢迎各地英才的加盟。",苏州极目机器人科技有限公司,"航天/航空,电子技术/半导体/集成电路",2年经验,深度学习算法工程师,50-150人,合资,"1,优化模型算法，提高识别精度和速度，降低误检和漏检,0,2,降低模型大小，优化模型部署,0,3,为不同应用场景选择和构建合适的神经网络模型,0,4,开发合适的数据预处理及后处理算法,任职要求：,1、本科及以上学历,0计算机相关专业；,2、2年以上深度学习图像分割实际工作经验；,3、熟悉常用目标检测与分割深度学习神经网络；,4、熟练掌握数据清洗与预处理，模型量化与剪枝，模型训练超参数优化，模型深度优化迭代等技术；,5、熟悉传统图像处理算法。熟练掌握,，,，,0,；,6、有农业领域图像识别经验者加分,职能类别：",1.5-2万/月,本科
五险一金,"北京安德医智科技有限公司是专注于医疗领域人工智能(AI)应用开发的高科技公司。,拥有世界一流的技术团队包括深度学习科学家及临床医疗专家（美国麻省理工学院、哈佛大学、中国中科院、新加坡国立大学的著名教授，中国大型三甲医院临床专家教授）。,公司秉承创新发展服务医患造福社会的理念，致力于深度学习技术与临床需求的深度融合，研发广泛应用于临床各科室的医疗AI产品, 以辅助医生提升效率为宗旨。共同开发应用产品包括：医学影像、病理、治疗、康复等领域的AI辅助产品。,公司成立了全球首家 “神经疾病人工智能研究中心”， 与中国研究型医院学会合作成立了医学影像与人工智能专业委员会，与山西医科大学联合成立了分子影像人工智能研究中心，同时也是中国人工智能学会理事单位。",北京安德医智科技有限公司,"互联网/电子商务,计算机软件",在校生/应届生,安德集团2020校园招聘-深度学习算法研究员,150-500人,合资,"博士入职可解决北京户口；,从事医疗人工智能多个领域的研究，把人工智能应用在诊断，治疗，康复等方面以提高医疗水平。如果您在人工智能领域有科研成果，发表过国际期刊，并想用技术改变医疗行业，有济世救人的伟大理想，欢迎加入我们。,负责计算机图像,机器学习（包括深度学习）算法的开发与性能提升；,负责下述研究课题中的一项或多项，包括但不限于：检测、跟踪、分类、图像处理、强化学习、机器人技术相关算法等；,针对项目执行中遇到的新问题，研究如何抽象建模，设计高效的机器学习、深度学习算法；对机器学习、深度学习领域内学术界、工业界最新的研究进展进行跟踪、实践，并逐渐应用到实际项目中；,推动机器学习算法在医疗实际应用和落地。,计算机，数学，物理，工程相关专业,学士，硕士，博士学位,熟悉常用的深度学习工具（如,等）；,熟悉,语言；熟悉,在图像识别、理解、分割领域有研究等经验优先；,发表过,机器学习期刊（,）优先；,优秀的编程实践能力，能够独立分析问题并解决；,工作认真负责、耐心细致，逻辑清晰，具有团队合作精神，有较强的事业心和责任心,职能类别：",2-2.5万/月,硕士
none,"   公司系车联网领军企业，物联网新模式下“创新营销协作软件”开发者；***集成应用软件，人本服务，智能语音技术的营销解决方案供应商。, 成员主要由来自通用汽车、IBM、高德软件等营销专家、IT极客、AI科学家组成的团队，团队理念：New things and better way；即任何事物用创新的思维以及更好的方式去实现。,   我们获得了《2016年度中国汽车流通行业协会“互联网+”实现先锋奖》、《2017中国汽车流通行业“经营服务模式”创新奖》、2018年获取《高新技术企业》资质、2019年获得《上海新锐企业》资质，《经济日报创业企业观察点》。,产品介绍 ：,公司主要产品为：落地协作系统（SaaS CRM、企业微信号、SIP协议）、落地运营交付系统、业务运营数据分析系统、用户数据安全防护系统、网络线索机器人、营销服务自动话术提词机器人、语音服务或在线服务自动质检机器人、营销方案案例库等。",苏州元兵信息科技有限公司,"互联网/电子商务,批发/零售",在校生/应届生,深度学习算法实习生(Python),50-150人,民营公司,"岗位描述：,0,0,0,01,0,0,0,0对现有系统数据进行语义分析、数据标签化、文本结构化；,0,0,0,0,0,02,0使用,框架研发机器学习框架生成自然语言处理模型，并制定模型优化策略进行机器人训练；,0,0,0,0,0,03,0结合第三方,工具在对话分析、语义分析场景开发深度学习层面的系统应用，为系统实现智能化落地基础能力；,0,0,0,0,0,04,0使用,数据采集框架，为项目应用采集所需数据。,任职要求：,1,0,0,0,0计算机，数学，统计学以及相关专业在校本科生、研究生或博士生,0,0,0,0,0,02,0熟练使用至少一种深度学习框架（,0,0,0,，,等）。,0,0,0,0,0,03,0有优秀的算法与编程技术，并熟练使用,。,0,0,0,0,0,04,0有扎实的数学和机器学习基础，包括线性代数、概率、统计等。,0,0,0,0,0,05,0有自然语言处理、图像处理、推荐系统、知识图谱或其他相关领域或方向项目经验者从优。,6,实习期间表现优秀者可转正。,0,0,职能类别：",0.6-1万/月,本科
"五险一金,补充医疗保险,弹性工作,定期体检","为什么我们要创办竹间智能,打造能读懂、看懂、听懂、有记忆，真正懂你的情感人工智能,随着大数据与深度学习技术的不断发展，人工智能已不只是计算机科学皇冠上的点缀。在人们的生活、工作场景中，AI已经开始发挥越来越重要的作用。人类对人工智能也有了更多的想象与期待。,2015年，简仁贤先生创办竹间智能科技，致力于将电影 Her（《她》）中所描绘的，那个具有丰富情感，能读懂、看懂、听懂、有记忆的人工智能带入现实世界。,我们也看到，金融、电商、呼叫中心等行业正面临人力成本激增，工作流程日趋复杂的挑战。而 AI机器人正以其高效、精准，被越来越多的管理者认同。在 IoT、智能硬件等领域，竹间研发的多模态情感识别技术与类脑对话机器人，也被越来越多的合作伙伴投入实际使用。,我们希望在竹间的不懈努力下，能充分释放 AI技术的潜力，帮助人类更好的生活，并解决商业场景中的高价值问题。同时，使每个机构与个人都能拥有平等的机会，拥抱崭新的 AI时代。, ,公司研发团队已有百余人，硕博比例超87%。成员多来自微软、百度、阿里、腾讯、华为、亚马逊等业界知名科技企业。核心研究人员多毕业于麻省理工、康奈尔大学、清华大学、台湾大学、香港中文大学等在AI领域具有深厚技术积累的著名院校。,如果你是 AI狂热的爱好者；,如果你是乐于梦想的创造者；,如果你是敢于挑战的开拓者；,如果你是拼搏向上的进取者；,如果你是勇于创新的革变者；,我们的极速宇航船上目前仍有一个很重要的位置空缺...,公司官网：http://www.emotibot.com,微信公众号：竹间智能Emotibot,知乎机构账号：https://www.zhihu.com/org/zhu-jian-zhi-neng-emotibot/activities,竹间智能荣获的部分奖项：,入选亿欧2018人工智能商业落地100强榜单,华鹰奖“最具潜力金融科技企业奖”,IT耳朵、IT桔子 “2017人机交互领域***创新大奖”,机器之心人工智能“「A100」自然语言类入选企业”,快公司Fast Company “2016***创新公司50强”,新智元“2016年中国AI创业企业最具潜力奖”,36氪WISE “2016年度前沿技术成就奖”",竹间智能科技（上海）有限公司,"互联网/电子商务,计算机软件",3-4年经验,深度学习高级算法科学家,150-500人,外资（欧美）,"岗位职责：,1、主导以深度学习为主的行业解决方案；,2、领导创新研究,0,0的算法和实现；,3、参与算法团队的组建。,任职要求：,1、熟悉和自然语言相关的深度学习的,；,2、在自然语言相关的领域有3年以上的深度学习研究和实践经验；,3、具有扎实的学术研究能力，并有多个国际一级的学术论文发表；,4、掌握最新的前沿技术和研究趋势，具备丰富的想象力和创新精神。,职能类别：",4-8万/月,博士
"五险一金,员工旅游,餐饮补贴,年终奖金,专业培训","公司名称：扬州万方电子技术有限责任公司,公司简介：扬州万方电子技术有限责任公司成立于1997年8月，是国家国防科技局系统集成司管理单位、国家高新技术企业和江苏省软件企业、国家火炬计划项目承担单位。在无锡、北京设有研发中心。,我公司是以科研开发为主的高科技企业，专门从事通信系统工程、计算机工程、通信电源系统工程、数字集群移动通信系统的技术研发和生产企业。,公司联系方式：0514-87258713,扬州招聘联系人：蒋先生；电话：0514-87258713,无锡招聘联系人：蒋***；电话：13665140467,扬州办公地址：扬州市广陵产业园安林路96号（公交线路：乘19路、201路、101路、26路至大桥东下向东500米）,北京办公地址：北京市海淀区上地西街8号院上地科技大厦4101室,无锡办公地址：无锡市滨湖区绣溪路50号K-park3号楼16层",扬州万方电子技术有限责任公司,电子技术/半导体/集成电路,3-4年经验,高级深度学习工程师,150-500人,民营公司,"任职要求：,1、博士学历，计算机、软件等相关专业，,2、具有扎实的编程功底，精通,编程和,编程，,3、精通,86架构下高性能软件优化技巧，,4、有高性能软件开发和开源软件开发经验者有限考虑。,岗位职责：,1、针对人工智能典型应用场景从事高性能算法的研发，,2、针对深度学习计算图中的各类计算模式，从事计算图的深度优化，,3、与深度学习算法研究人员充分交流，实现特定算法的高性能软件。,职能类别：,关键字：",25-50万/年,博士
none,"      久邦是全球领先的移动互联网应用服务和广告平台，旗下业务包括面向全球用户的移动应用App，面向国内用户的久邦文学（3G书城、GGbook等）和3G门户网。久邦是中国***家在美国独立上市的移动互联网企业。,      公司位于广州市越秀区中华国际中心，目前公司总人数约500人。我们对内低调务实，对外开放创新的企业文化，为企业争取了宝贵的发展机会。,2003年，久邦成立并开启免费移动WAP时代，让3G门户成为中国最著名的移动门户网站之一；,2010年，提出移动互联网出海战略，GO桌面系列产品全面出海，带动一系列其他企业跟随；,2013年，成为中国***家在美国纳斯达克独立上市的移动互联网企业；,2016年、2017年，久邦进一步发展，从原有工具类APP全面拓展，重磅推出海外直播，短视频以及新闻资讯等内容型应用，同时重点发展了游戏自研和游戏海外代发行业务。今年8月，久邦正式对外宣布数千万元领头玖的，进军VR领域，目前公司已经进入了一个全新的发展时期，业务遍布全球200多个国家，产品支持40多种语言；,期待您的加入，一起见证下一个移动互联网时代的风口，一起打造中国***的移动互联网出海企业！,--------------------------------------------------------------------------,+Facebook全球***的合作伙伴,+全球***的手机工具软件开发商，目前累计下载超16亿，月活超2亿,下载过亿：GO桌面/GO输入法/GO短信/Z相机/S相机,下载超五千万：Z桌面/GO天气,下载超三千万：GO音乐/Go省电/GO加速/GO安全/Next桌面,下载超千万：手电筒/GO闹钟/应用锁,新兴产品：直播 / 新闻头条 / 短视频 / 音乐 / VR实验室",广州久邦世纪科技有限公司,"互联网/电子商务,网络游戏",招1人,深度学习算法工程师,500-1000人,民营公司,"岗位职责,1、负责图像相关算法研究、开发和实现,2、协助客户端,服务端算法模型部署,3、追踪,研究，对现有模型或算法流程进行优化,任职要求,1、数学、计算机、信号处理、模式识别等相关专业，统招本科及以上学历，三年以上相关工作经验,2、熟悉,编程，掌握,、,等图像处理工具以及能熟练使用,等至少一种深度学习框架,3、有目标检测、图像分类、人脸特征点识别、语义分割、图像生成等经验优先,4、编程习惯良好，能阅读外文论文文献,职能类别：",1.6-2.6万/月,
"成长空间,年终奖金,交通补贴,社会保险,节日福利,业绩提成","        公司成立于2003年7月，是一家集规划、设计、研发、系统集成和运维服务等一体化信息解决方案的综合型IT优秀企业。公司经过十几年的辛勤耕耘、锐意进取、开拓创新，业务已涵盖电力、水利、财政和移动互联等领域。基于多年的积累，公司自主研发了多款涉及企业信息管理及互联网应用相关的产品，以产品和解决方案并进的方式在水利、财政、电力、汽车等行业取得了领先的位置。在互联网+的趋势下，公司积极布局新兴行业，深度挖掘和探索自主互联网业务，形成了智慧水务平台、移动水务平台、大数据管理、车辆网服务等核心技术及方案，深入应用于众多客户和领域。,        同时公司以培养人才为理念，将培养人才作为公司的***乐趣，授人以渔，唯贤适用，让每个员工都有提升和成长的机会。过去的这些年，我们沉淀了专业与信任，身为人才的你，未来我们希望能有您的加入，与我们携手前进，前往更加吸引的征途，体验我们奋斗的激情、共享成功的喜悦！",长沙市盛唐科技有限公司,"计算机软件,电气/电力/水利",2年经验,深度学习算法工程师,50-150人,民营公司,"负责深度学习领域等相关领域研究和开发工作；,0,0,负责深度学习框架搭建；,0,0,负责图像识别，检测处理算法和系统研发；,0,负责模型线上部署工作。,大学本科学历，计算机，数学等相关专业，硕士优先；,掌握机器学习深度学习等相关知识，有该领域算法的研究或开发经验；,熟悉机器学习基本方法（降维、分类、回归、聚类等）；,熟悉深度神经网络图像识别常用的模型如,，,等；,有实践经验，掌握调参策略，能针对特定问题独立建模；,熟悉一门编程语言，如,，,等；,对技术有热情，愿意挑战新的算法和新的领域，敢于超越技术极限，致力于研发一流的技术。,有后台研发部署模型经验优先。,职能类别：",1.2-1.5万/月,本科
"五险一金,补充医疗保险,股票期权,定期体检,专业培训,员工旅游,出国机会,年终奖金,绩效奖金,弹性工作","云洲智能科技有限公司成立于2010年，是中国***家专注于无人船艇技术研发、生产及销售于一体的高新科技企业。,云洲拥有世界一流的无人船艇研发及产业化团队，无人船艇自主航行、智能避障、协同控制等核心技术处于全球领先水平，业务涉及环境测量、海洋调查、安防救援、军事应用及无人货运等五大板块。公司参与制定了中国现有的全部7项无人船艇标准，已申报专利100多项，其中发明专利57项，约占全球无人船艇核心专利总数的四分之一。,云洲先后推出世界***艘环保无人船，中国***艘海洋调查无人艇、隐身无人艇、自主军用无人艇和***无人艇，是环保部***的无人艇应急分队和应急专家组成员，参与天津港特大爆炸污染、甘肃陇西尾库矿泄露、河南南阳固体废物污染等事故环境应急处理，获环保部多次表彰。云洲无人船艇先后参与第34次南极科考、青藏高原冰川湖泊科考以及西沙南沙岛礁调查等重大任务。,目前云洲已在新加坡、深圳、连云港、西安建立了研发机构，建成了中国***个无人船艇研发测试基地——香山海洋科技港，以及世界***的无人船海上测试场。云洲无人船艇产品已经在全国30余个省份成功应用，并出口到美国、英国、法国等近20个国家。,云洲致力于用智能科技探索海洋、保护海洋与经略海洋，助力海洋经济发展，推动世界进入水上智能时代。,      ,我们是一家创业型企业，倡导灵活的人性化管理，为活跃的思维提供无限的发挥空间，所以我们本着创新, 平等的经营理念, 努力营造一个平等,开放,积极,和谐的工作环境。我们每个人都有一份做出世界上***的机器人的热情、梦想与执着。在轻松、自由的团队氛围里，我们每一个人都是公司的主人，为公司出谋划策、提出新建议。,你是一个富有创意并且热爱机械设计与制造、或者人工智能相关的领域吗？我们正期待着您的加入！",珠海云洲智能科技有限公司,"环保,通信/电信/网络设备",3-4年经验,深度学习算法工程师,150-500人,民营公司,"岗位要求,1、统计学、数学、计算机科学、模式识别相关专业，硕士以上学历，2年以上工作经验，扎实的数学功底,2、熟悉,等编程语言，熟悉常用的深度学习工具（如,，,等）,3、有基于计算机视觉、深度学习的图像识别、目标检测与跟踪系统设计经验，能够针对实际问题设计最优方案及实现；,4、具有阅读专业英文资料的能力和学习能力；,5、良好的沟通协调能力及团队合作意识，较强的进取心、责任心及主动性；,优先项,1、有机器人、无人驾驶领域工作经验；,2、有双目视觉系统开发经验；,岗位职责：,1、负责基于多传感器的环境融合感知系统设计、开发与持续优化；,2、开展计算机视觉、机器学习等解决方案在无人艇上的应用研究；,3、相关技术文档的编写及专利申请。,职能类别：,关键字：",3-4万/月,硕士
"五险一金,餐饮补贴,定期体检,免费班车,商业保险,加班工资","   三星综合技术院作为世界超一流尖端技术研发机构，自1987年成立以来，一直代表着三星***研发水平。西安三星电子研究所作为三星综合技术院海外最重要的前沿技术研究所之一，担负着AI, Machine Learning, Automotive, Sensor, Storage, Connectivity 等尖端门类研究与开发。,   在这里您将有机会参与全球范围内最为尖端的开发和研究项目，与全世界最为优秀的研究人员一起工作。这里有充满热情的工作伙伴，这里为你提供世界顶尖企业的广阔平台，这里有全球化的工作、培训机会，这里还有为三星人准备的优美办公环境，人性化的福利以及极具竞争力的薪酬。,   加入三星，与我们一起探索与挑战尖端技术，引领世界IT行业的潮流，为人类社会的福祉做出卓越的贡献，创造更美好的生活！",西安电子研究所,"电子技术/半导体/集成电路,计算机软件",在校生/应届生,应届生软件研发工程师（AI，深度学习等方向）,150-500人,外资（非欧美）,"1,基础技能,熟练使用,其中至少一种语言。,2,项目经历：,对自动驾驶、计算机视觉、深度学习、生物传感器、安全、,，嵌入式系统等领域有强烈的个人兴趣，有相关项目经验者为佳；,具有底层软件、,设备驱动或嵌入式系统开发经验。,在校期间拥有个人专利、发表核心期刊论文者优先,3,英语能力：通过,4。,0,0,国家统招或教育部认证的海外学历，工作时间未满1年,本科,硕士学历,计算机、通信、电子信息、自动化、数学、生物医电相关专业,专业导师培养，丰富的技术培训，具有竞争力的薪酬与福利，优雅的办公环境，为优秀人才提供全球化的国际平台，引领世界,行业潮流，只等你来,0,0,感谢您对三星（中国）半导体有限公司下属西安三星电子研究所的关注,三星（中国）半导体有限公司高度重视用户的个人信息，并严格遵守,中华人民共和国网络安全法,及个人信息保护的有关法律规定进行收集、使用、安全管理。,请您在投递简历前认真认真阅读以下内容，确认后完成简历投递。,若您已经成功投递简历则表示您已经同意并承诺以下申明。,0,个人信息收集使用申明,在本次招聘活动中，我们承诺以下事项：,1,我们收到的个人信息仅用于本次您所投递三星（中国）半导体有限公司下属西安三星电子研究所的招聘岗位及可能录取后的招聘活动管理中，并保证未经本人同意不向第三方披露；,如果您没有被录取，我们将在招聘结束后销毁文本和电子信息；,个人信息及包括但不限于以下信息：个人姓名、生日、性别、民族、国籍等基本信息，个人电话号码、邮箱地址等个人敏感信息，以及个人职业及教育经历信息等；,2,我们不会在招聘中询问您现在或以前工作单位的任何商业秘密，并保证不会因此影响招聘结果；,3,在招聘中如果有任何您认为不适当的行为或询问，您都有权拒绝；我们保证不会因此影响招聘结果。,同时也请您阅读以下事项，并保证以下内容真实性；如果内容虚假，本人愿意接受因此为三星（中国）半导体有限公司下属西安三星电子研究所带来的任何不良后果，并承担由此给公司造成的任何损失。,1,我在自愿的情况下同意投递三星（中国）半导体有限公司下属西安三星电子研究所招聘岗位收集以上信息，并允许公司在招聘和可能录取后的招聘活动管理中使用；,2,0我保证在本次招聘中提供的个人信息真实，并认可公司对虚假个人信息的处理行为；,3,0我允许招聘公司对我提供的个人信息在法律许可的范围内进行背景调查；,4,0我在此次招聘或将来入职后，将对现公司、前公司的商业秘密进行保密；,5,0若本人还存在与原公司在有效期内的竞业限制协议，将在招聘过程中如实告知公司。,负责以下一项或多项前沿技术的研究软件开发：,存储设备的软件解决方案开发，深度学习、机器学习、计算机视觉、生物传感器算法、嵌入式系统等领域研究与开发。,职能类别：,关键字：",11-20万/年,本科
"五险一金,专业培训,绩效奖金,年终奖金,定期体检,员工旅游,交通补贴","   智绘科技成立于2015年7月，是国内领先的自主智能无人系统和空间智能感知等领域产品研发和技术服务的国家高新技术企业。公司致力于打造全球领先的类脑导航控制器和车辆网联智能服务平台，赋予自主无人系统感知、行动和交流的能力，打造智能超脑。公司成立四年以来，业绩快速增长，目前已经成长为国内地面智能无人系统的行业领先者。,   公司现有员工50余人，均来自于国内外知名高校，包括清华大学、武汉大学、英国帝国理工大学等，并与上海交通大学、武汉大学、中山大学、深圳大学等多所著名高校签有合作协议，目前已累计获得知识产权30余项。,   智绘科技核心团队拥有超过十年的技术积累，在单机导航控制和群体协同控制关键技术上取得了重大突破。公司自主研发的工业级智能导航控制器，和一体化集成的10类异构传感器，具备真三维自主导航定位、环境建模感知、智能自主决策与群体协同等功能。公司推出的无人物流配送车、无人巡逻巡检车、无人清扫车、无人植保车等多套面向行业的智能无人化解决方案和产品，已为众多车企、工厂、园区、机器人公司、安防公司、政府单位等相关机构提供服务。,    2019年智绘科技提出的“5G网联智能汽车超视距感知体系”获得深圳市经信委5G推介项目支持，机器人智能导航控制器产品获得第十三届国际移动测量大会金奖。",深圳市智绘科技有限公司,"计算机软件,互联网/电子商务",1年经验,自动驾驶深度学习感知算法工程师,50-150人,民营公司,"1,基于图像和激光点云数据,快速实现和优化改进现有基于深度学习的环境感知技术,并进行系统集成,2,相关任务包括且不限于物体检测,分类,跟踪,行为分析、场景理解,语义分割。,任职要求,1,熟悉,精通,、,、,等至少门编程语言,有较强动手能力,2,熟悉并在目前常见的机器学习或者深度学习框架中的一个或者多个,、,、,、,、,等上有项目经验,3,熟悉计算机视觉机器学习基本理论,扎实的概率统计,线性代数,数值优化基础,4,熟悉深度学习理论和常用模型,具有较强的英文文献阅读理解能力,可以独立完成文献查阅和算法实现,5,有机器人相关,开发经验优先,职能类别：",1.2-2.5万/月,硕士
"五险一金,弹性工作,绩效奖金,团建","深圳市道创智能创新科技有限公司（简称“道创智能”），位于中国深圳/香港，道创智能致力于成为全球智慧农业视觉光谱数据分析先驱，围绕提高农业生产效率进行一系列核心研发，是一家以人工智能物联网（AIoT）为技术核心的创新型公司。核心产品是多光谱相机和农业大数据分析平台，周期性提供农田作物***手信息，区分植被生长差异性，实现精准务农，农田植物数据化及科学化管理。,另一核心业务是利用光谱技术分选水果及种子，利用光谱技术，通过酸甜度、成熟度分选水果；利用光谱技术，根据种子发芽率，分选种子，以此提高生产效率和农产品价值。,道创智能核心团队均来自香港科技大学机器人研究所，多位连续创业者（2016年，Vimble S手持云台为年度香港地区Kickstarter众筹金额***项目之一，筹得150万港币；2018年，打造Petato宠物机器人产品，Kickstarter众筹金额达1000万港币），团队于2018年末完成百万级种子轮投资，由清水湾基金，东莞松山湖机器人基地及农业领域战略投资人投资，顾问团队有李泽湘教授（香港科技大学自动化技术中心主任，教授，大疆创新董事长，固高科技董事长），高秉强教授（香港科技大学创始人，芯联国际总裁）。团队被评选为2019年阿里巴巴创业者基金Jumpstarter Global Top 100 startups。",深圳市道创智能创新科技有限公司,"电子技术/半导体/集成电路,计算机硬件",1年经验,深度学习视觉工程师,少于50人,外资（非欧美）,"1,在计算机视觉方向进行探索和价值落地；,2,模型,算法的选型、训练、优化经验尤佳；,3,应用级别的综合分类器算法实现,任职资格：,1,理解并掌握计算机视觉算法原理,传统算法,深度学习算法,2,具备扎实的编程基础，熟练掌握,及,或者,两种及两种以上开发语言，有较强的算法实现能力，可以快速将想法实现,3,在以下任一领域有实际项目开发经验：图像处理、,超分、人脸、图像分类,检测,分割、,、视频理解分析,4,熟练掌握一种以上深度学习训练框架（,等）,5,有移动端模型部署、优化经验,加分项：,1,编程能力强，,，,等编程比赛获奖者,2,参加过,等竞赛,3,在计算机视觉领域有高水平论文成果发表,4,有知名,公司工作经验,职能类别：,关键字：",1-2万/月,本科
